030454,42.0
030455,39.0
030456,51.0
030457,50.0
030459,32.0
030460,39.0
030466,33.0
030468,47.0
030469,36.0
030475,46.0
030476,32.0
030479,36.0
030484,36.0
030487,34.0
030488,30.0
030489,36.0
030493,33.0
030496,36.0
030454,42.0
030455,39.0
030456,51.0
030457,50.0
030459,32.0
030460,39.0
030466,33.0
030468,47.0
030469,36.0
030475,46.0
030476,32.0
030479,36.0
030484,36.0
030487,34.0
030488,30.0
030489,36.0
030493,33.0
030496,36.0
030455,39.0
030456,51.0
030457,50.0
030459,32.0
030460,39.0
030466,33.0
030468,47.0
030469,36.0
030475,46.0
030476,32.0
030479,36.0
030484,36.0
030487,34.0
030488,30.0
030489,36.0
030493,33.0
030496,36.0
030454,42.0
030455,39.0
030456,51.0
030457,50.0
030459,32.0
030460,39.0
030466,33.0
030468,47.0
030469,36.0
030475,46.0
030476,32.0
030479,36.0
030484,36.0
030487,34.0
030488,30.0
030489,36.0
030493,33.0
030496,36.0
030454,42.0
030455,39.0
030456,51.0
030457,50.0
030459,32.0
030460,39.0
030466,33.0
030468,47.0
030469,36.0
030475,46.0
030476,32.0
030479,36.0
030484,36.0
030487,34.0
030488,30.0
030489,36.0
030493,33.0
030496,36.0
030454,42.0
030455,39.0
030456,51.0
030457,50.0
030459,32.0
030460,39.0
030466,33.0
030468,47.0
030469,36.0
030475,46.0
030476,32.0
030479,36.0
030484,36.0
030487,34.0
030488,30.0
030489,36.0
030493,33.0
030496,36.0
030454,42.0
030455,39.0
030456,51.0
030457,50.0
030459,32.0
030460,39.0
030466,33.0
030468,47.0
030469,36.0
030475,46.0
030476,32.0
030479,36.0
030484,36.0
030487,34.0
030488,30.0
030489,36.0
030493,33.0
030496,36.0
030454,42.0
030455,39.0
030456,51.0
030457,50.0
030459,32.0
030460,39.0
030466,33.0
030468,47.0
030469,36.0
030475,46.0
030476,32.0
030479,36.0
030484,36.0
030487,34.0
030488,30.0
030489,36.0
030493,33.0
030496,36.0
030454,42.0
030455,39.0
030456,51.0
030457,50.0
030459,32.0
030460,39.0
030466,33.0
030468,47.0
030469,36.0
030475,46.0
030476,32.0
030479,36.0
030484,36.0
030487,34.0
030488,30.0
030489,36.0
030493,33.0
030496,36.0030454,42.0
030455,39.0
030456,51.0
030457,50.0
030459,32.0
030460,39.0
030466,33.0
030468,47.0
030469,36.0
030475,46.0
030476,32.0
030479,36.0
030484,36.0
030487,34.0
030488,30.0
030489,36.0
030493,33.0
030496,36.0
030454,42.0
030455,39.0
030456,51.0
030457,50.0
030459,32.0
030460,39.0
030466,33.0
030468,47.0
030469,36.0
030475,46.0
030476,32.0
030479,36.0
030484,36.0
030487,34.0
030488,30.0
030489,36.0
030493,33.0
030496,36.0
